Feature,Importance,Region,Model
GDP_Level,0.0006571268155584509,China,Permutation
POP_Level,0.0002858351842411233,China,Permutation
Growth_rate,0.0002189338697177412,China,Permutation
Value_Area,0.47177461653806546,Finland,Random Forest
NPP,0.25007199890395954,Finland,Random Forest
Price,0.09332596756127694,Finland,Random Forest
Year,0.09125437107870357,Finland,Random Forest
Quantity,0.08728155003782931,Finland,Random Forest
GDP_Level,0.0017220214364407674,Finland,Random Forest
Growth_rate,0.0016392911699118216,Finland,Random Forest
GDPP,0.0016163570352292784,Finland,Random Forest
POP_Level,0.001313826238583327,Finland,Random Forest
Value_Area,0.36511300495559146,Finland,Gradient Boosting
NPP,0.2475786143891534,Finland,Gradient Boosting
Year,0.20169800502053123,Finland,Gradient Boosting
Price,0.10438207489776512,Finland,Gradient Boosting
Quantity,0.07931640173358961,Finland,Gradient Boosting
GDPP,0.00097945658804173,Finland,Gradient Boosting
POP_Level,0.0006775151765599058,Finland,Gradient Boosting
Growth_rate,0.00013576924083028518,Finland,Gradient Boosting
GDP_Level,0.00011915799793723847,Finland,Gradient Boosting
Value_Area,0.8256636104143797,Finland,Permutation
Price,0.40509029101283367,Finland,Permutation
Year,0.25958952958559667,Finland,Permutation
NPP,0.19761900911607638,Finland,Permutation
Quantity,0.19245100830971248,Finland,Permutation
GDPP,0.0010304261548357064,Finland,Permutation
GDP_Level,0.0007340522786974501,Finland,Permutation
Growth_rate,0.0006803839806416079,Finland,Permutation
POP_Level,0.00041265673046014806,Finland,Permutation
Year,0.4473346366416351,France,Random Forest
Value_Area,0.3211699144190601,France,Random Forest
NPP,0.18544729558308054,France,Random Forest
Price,0.02139561828887711,France,Random Forest
Quantity,0.021333722523132218,France,Random Forest
GDPP,0.001632226620399595,France,Random Forest
GDP_Level,0.0007394280147432563,France,Random Forest
Growth_rate,0.00059739958564361,France,Random Forest
POP_Level,0.0003497583234285606,France,Random Forest
Year,0.4117657218888882,France,Gradient Boosting
Value_Area,0.3696344175515323,France,Gradient Boosting
NPP,0.16809136484410098,France,Gradient Boosting
Quantity,0.025516629887670932,France,Gradient Boosting
Price,0.021517668975435493,France,Gradient Boosting
GDPP,0.0025224517294809338,France,Gradient Boosting
GDP_Level,0.0005896129088865541,France,Gradient Boosting
POP_Level,0.00021428786742295618,France,Gradient Boosting
Growth_rate,0.000147844346581626,France,Gradient Boosting
Year,0.5039145836948811,France,Permutation
Value_Area,0.36306884413515433,France,Permutation
NPP,0.21701750315771365,France,Permutation
Quantity,0.06632633895803061,France,Permutation
Price,0.06338659014243178,France,Permutation
GDPP,0.000686954851192767,France,Permutation
GDP_Level,0.0004809116603869956,France,Permutation
Growth_rate,0.0002446278301616811,France,Permutation
POP_Level,0.00011620696993638324,France,Permutation
Value_Area,0.6732237359816359,Germany,Random Forest
NPP,0.12920465759220567,Germany,Random Forest
Year,0.10518825494914728,Germany,Random Forest
Price,0.05082510604954503,Germany,Random Forest
Quantity,0.03619747563523747,Germany,Random Forest
POP_Level,0.0016737705364076728,Germany,Random Forest
Growth_rate,0.0014338294579078763,Germany,Random Forest
GDPP,0.0014198026982447114,Germany,Random Forest
